size,naive,better,blas
139,9628355,9205647,1394962
139,9638831,9105303,1393540
140,9854813,9321565,1420771
140,9799354,9403551,1424153
140,10001851,9323255,1418012
140,9893590,9319779,1426145
140,9840159,9346329,1418471
140,9882895,9375653,1422472
140,9875116,10320108,1493756
140,9903374,9319373,1424835
140,10889900,9320579,1471491
140,9823503,10067458,1422488
141,10127548,9543443,1503623
141,10193286,9573557,1455265
141,10120439,9630945,1456075
141,10112560,9509268,1455009
141,10141856,9597938,1455520
141,10091591,9612231,1460162
141,10025335,9509133,1502336
141,10068656,9569494,1458039
141,10236720,9502950,1453106
141,10207615,9558466,1456712
142,10230635,9925116,1524681
142,10335201,9773538,1478050
142,10307285,9820297,1477808
142,10248654,9760053,1480448
142,10318492,9795977,1474443
142,10345125,9843353,1478361
142,10299204,11720791,2783075
142,16791809,11506515,1596346
142,11023000,11753179,1615134
142,10754894,9937200,1478455
143,10520704,10021134,1509335
143,10399595,9863478,1512026
143,10413869,9978524,1511316
143,10452422,9930959,1514423
143,10406413,9922041,1513761
143,10403416,9930864,1511370
143,10466973,9942249,1603472
143,10397530,9991725,1511654
143,10714381,9924327,1509469
143,10472981,10032854,1517172
144,10551169,10092744,1538898
144,10694768,10163120,1543327
144,10661158,10143148,1545848
144,10671139,10081635,1593688
144,10671736,10168482,1543607
144,10671088,10102322,1595345
144,10673049,10140164,1540206
144,10723872,10072375,1541805
144,10678537,10095344,1541657
144,10640819,10125066,1541981
145,11144692,10390512,1576957
145,10926407,11640490,1661865
145,11006709,10320553,1574692
145,10945596,10286465,1574943
145,10911391,10582237,1575969
145,10876845,10364534,1576602
145,10918408,10321851,1580156
145,10889310,10372993,1579502
145,10933331,10325371,1578430
145,10927031,10383711,1578835
146,11122829,10609725,1604716
146,11103591,10585261,1603451
146,11263578,10657904,1651298
146,11168913,10643285,1606364
146,11222674,10593155,1604741
146,11171964,10581289,1605713
146,11179548,10548873,1606788
146,11260863,10517165,1603674
146,11198766,10564301,1606501
146,22921577,13104257,1836678
147,12602448,11646200,1794644
147,12221523,10939319,1689887
147,11757302,10811827,1631184
147,12122292,10980308,1634925
147,11785819,10933914,1630015
147,11828334,10940432,1631271
147,11708151,10768820,1630242
147,12954916,10788005,1632819
147,11746858,10835599,1632457
147,11681292,10876545,1631132
148,12217105,11422892,1675578
148,12027533,10994684,1677075
148,12042475,11093491,1675941
148,12162413,11059010,1673595
148,12076997,11024128,1677306
148,12048654,11108699,1678142
148,12187901,11470920,1683807
148,12132827,11019586,1674584
148,12064996,11031823,1677250
148,11979419,11094603,1676766
149,12467576,11249609,1731051
149,13947406,11409553,1727411
149,12410889,11418072,1725333
149,12433740,11299753,1723734
149,12535263,11228362,1724695
149,12404197,11290633,1726221
149,12424065,11307314,1722961
149,12423077,11256223,1773271
149,12336222,11345726,1721749
149,12371744,11505462,1724759
150,12543656,11481796,1779668
150,12645474,11474496,1732711
150,12697086,11516681,1729533
150,12829715,11441658,1780467
150,12561905,11541397,1730643
150,12653441,11492184,1731463
150,12633428,11467757,1779517
150,16228084,20291613,2254131
150,14181639,12283196,1860393
150,13308881,11507552,1779767
151,13312223,11618740,1764295
151,13169175,11761855,1770035
151,13124265,11713274,1764159
151,15168135,11584385,1819226
151,13206678,11668033,1765404
151,13220315,11720990,1765869
151,13362695,11758787,1767960
151,13423936,11606452,1812566
151,13012297,11740933,1763740
151,13307722,11634282,1770557
152,13495097,11970924,1808860
152,13370402,11838820,1836593
